날짜,팀,기록,기록값
2025-03-26,KIA,GDP,0
2025-03-26,KIA,H,13
2025-03-26,KIA,HR,0
2025-03-26,KIA,R,10
2025-03-26,KIA,SO,7
2025-03-26,KIA,경기결과,L
2025-03-26,KIA,사구,12
2025-03-26,KT,GDP,1
2025-03-26,KT,H,9
2025-03-26,KT,HR,0
2025-03-26,KT,R,2
2025-03-26,KT,SO,5
2025-03-26,KT,경기결과,L
2025-03-26,KT,사구,3
2025-03-26,LG,GDP,1
2025-03-26,LG,H,10
2025-03-26,LG,HR,1
2025-03-26,LG,R,4
2025-03-26,LG,SO,9
2025-03-26,LG,경기결과,W
2025-03-26,LG,사구,9
2025-03-26,NC,GDP,2
2025-03-26,NC,H,15
2025-03-26,NC,HR,1
2025-03-26,NC,R,8
2025-03-26,NC,SO,3
2025-03-26,NC,경기결과,W
2025-03-26,NC,사구,7
2025-03-26,SSG,GDP,0
2025-03-26,SSG,H,7
2025-03-26,SSG,HR,1
2025-03-26,SSG,R,3
2025-03-26,SSG,SO,9
2025-03-26,SSG,경기결과,W
2025-03-26,SSG,사구,5
2025-03-26,두산,GDP,0
2025-03-26,두산,H,10
2025-03-26,두산,HR,0
2025-03-26,두산,R,3
2025-03-26,두산,SO,7
2025-03-26,두산,경기결과,W
2025-03-26,두산,사구,0
2025-03-26,롯데,GDP,3
2025-03-26,롯데,H,7
2025-03-26,롯데,HR,0
2025-03-26,롯데,R,1
2025-03-26,롯데,SO,6
2025-03-26,롯데,경기결과,L
2025-03-26,롯데,사구,1
2025-03-26,삼성,GDP,0
2025-03-26,삼성,H,6
2025-03-26,삼성,HR,1
2025-03-26,삼성,R,6
2025-03-26,삼성,SO,9
2025-03-26,삼성,경기결과,L
2025-03-26,삼성,사구,3
2025-03-26,키움,GDP,1
2025-03-26,키움,H,21
2025-03-26,키움,HR,1
2025-03-26,키움,R,17
2025-03-26,키움,SO,6
2025-03-26,키움,경기결과,W
2025-03-26,키움,사구,8
2025-03-26,한화,GDP,1
2025-03-26,한화,H,2
2025-03-26,한화,HR,0
2025-03-26,한화,R,0
2025-03-26,한화,SO,5
2025-03-26,한화,경기결과,L
2025-03-26,한화,사구,2
20250326,KIA,도루,1
20250326,KIA,실책,1
20250326,KT,도루,0
20250326,KT,실책,1
20250326,LG,도루,2
20250326,LG,실책,0
20250326,NC,도루,3
20250326,NC,실책,1
20250326,SSG,도루,0
20250326,SSG,실책,0
20250326,두산,도루,0
20250326,두산,실책,1
20250326,롯데,도루,1
20250326,롯데,실책,0
20250326,삼성,도루,0
20250326,삼성,실책,0
20250326,키움,도루,0
20250326,키움,실책,1
20250326,한화,도루,0
20250326,한화,실책,2
